,0,1
236,917,1024
237,914,1023
238,911,1023
239,907,1023
240,904,1022
241,900,1022
242,897,1022
243,894,1021
244,890,1021
245,887,1020
246,883,1020
247,880,1019
248,877,1019
249,873,1018
250,870,1018
251,867,1017
252,863,1016
253,860,1016
254,856,1015
255,853,1014
256,850,1014
257,846,1013
258,843,1012
259,840,1011
260,836,1010
261,833,1010
262,830,1009
263,827,1008
264,823,1007
265,820,1006
266,817,1005
267,813,1004
268,810,1003
269,807,1002
270,804,1001
271,800,1000
272,797,999
273,794,998
274,791,997
275,787,995
276,784,994
277,781,993
278,778,992
279,775,991
280,771,989
281,768,988
282,765,987
283,762,985
284,759,984
285,756,983
286,753,981
287,749,980
288,746,978
289,743,977
290,740,975
291,737,974
292,734,972
293,731,971
294,728,969
295,725,968
296,722,966
297,719,964
298,716,963
299,713,961
300,710,959
301,707,958
302,704,956
303,701,954
304,698,952
305,695,951
306,692,949
307,690,947
308,687,945
309,684,943
310,681,941
311,678,939
312,675,937
313,673,935
314,670,933
315,667,931
316,664,929
317,661,927
318,659,925
319,656,923
320,653,921
321,651,919
322,648,917
323,645,915
324,643,913
325,640,910
326,637,908
327,635,906
328,632,904
329,630,901
330,627,899
331,625,897
332,622,895
333,620,892
334,617,890
335,615,887
336,612,885
337,610,883
338,607,880
339,605,878
340,603,875
341,600,873
342,598,870
343,595,868
344,593,865
345,591,863
346,589,860
347,586,858
348,584,855
349,582,853
350,580,850
351,577,847
352,575,845
353,573,842
354,571,839
355,569,837
356,567,834
357,565,831
358,563,829
359,561,826
360,559,823
361,557,820
362,555,817
363,553,815
364,551,812
365,549,809
366,547,806
367,545,803
368,543,800
369,541,798
370,539,795
371,538,792
372,536,789
373,534,786
374,532,783
375,531,780
376,529,777
377,527,774
378,526,771
379,524,768
380,522,765
381,521,762
382,519,759
383,518,756
384,516,753
385,515,750
386,513,747
387,512,744
388,510,741
389,509,737
390,507,734
391,506,731
392,505,728
393,503,725
394,502,722
395,501,719
396,499,715
397,498,712
398,497,709
399,496,706
400,495,703
401,493,699
402,492,696
403,491,693
404,490,690
405,489,686
406,488,683
407,487,680
408,486,677
409,485,673
410,484,670
411,483,667
412,482,663
413,481,660
414,480,657
415,480,654
416,479,650
417,478,647
418,477,644
419,476,640
420,476,637
421,475,634
422,474,630
423,474,627
424,473,623
425,472,620
426,472,617
427,471,613
428,471,610
429,470,607
430,470,603
431,469,600
432,469,596
433,468,593
434,468,590
435,468,586
436,467,583
437,467,579
438,467,576
439,466,573
440,466,569
441,466,566
442,466,562
443,466,559
444,465,556
445,465,552
446,465,549
447,465,545
