,0
242,1666750576.5689638
243,1666750576.584361
244,1666750576.5973277
245,1666750576.6104107
246,1666750576.6255465
247,1666750576.6395178
248,1666750576.6545403
249,1666750576.666506
250,1666750576.6801527
251,1666750576.6932347
252,1666750576.7073946
253,1666750576.7228715
254,1666750576.7369795
255,1666750576.748011
256,1666750576.7625697
257,1666750576.7772295
258,1666750576.7912178
259,1666750576.827223
260,1666750576.869949
261,1666750576.8786342
262,1666750576.8906376
263,1666750576.9063869
264,1666750576.920899
265,1666750576.9355156
266,1666750576.9528983
267,1666750576.96719
268,1666750576.9802022
269,1666750576.992379
270,1666750577.0068202
271,1666750577.0206578
272,1666750577.034443
273,1666750577.048141
274,1666750577.0620682
275,1666750577.0748498
276,1666750577.0911787
277,1666750577.1030777
278,1666750577.1170654
279,1666750577.1289334
280,1666750577.144226
281,1666750577.157588
282,1666750577.1725638
283,1666750577.1852143
284,1666750577.1992168
285,1666750577.213169
286,1666750577.2265081
287,1666750577.24181
288,1666750577.2549083
289,1666750577.2669356
290,1666750577.2823129
291,1666750577.2953196
292,1666750577.3100555
293,1666750577.3244298
294,1666750577.3402395
295,1666750577.3527179
296,1666750577.365605
297,1666750577.380258
298,1666750577.393398
299,1666750577.4060934
300,1666750577.4181056
301,1666750577.4346135
302,1666750577.4483352
303,1666750577.4616294
304,1666750577.4757988
305,1666750577.4884503
306,1666750577.500704
307,1666750577.5163124
308,1666750577.530298
309,1666750577.5441446
310,1666750577.558188
311,1666750577.574416
312,1666750577.5881639
313,1666750577.6025221
314,1666750577.617506
315,1666750577.629446
316,1666750577.644423
317,1666750577.6583383
318,1666750577.672205
319,1666750577.684277
320,1666750577.6992671
321,1666750577.713462
322,1666750577.727848
323,1666750577.740207
324,1666750577.7555006
325,1666750577.7686307
326,1666750577.7833066
327,1666750577.7961202
328,1666750577.8121078
329,1666750577.8261461
330,1666750577.8389912
331,1666750577.8671105
332,1666750577.88207
333,1666750577.9175944
334,1666750577.9290926
335,1666750577.953184
336,1666750577.965422
337,1666750577.9774113
338,1666750577.9894285
339,1666750578.003411
340,1666750578.0179396
341,1666750578.032679
342,1666750578.0493236
343,1666750578.0636446
344,1666750578.0769894
345,1666750578.0912046
346,1666750578.10666
347,1666750578.1174848
348,1666750578.1311953
349,1666750578.1462011
350,1666750578.1582139
351,1666750578.1733465
352,1666750578.1883411
353,1666750578.2035675
354,1666750578.2155688
355,1666750578.2296145
356,1666750578.2441983
357,1666750578.2572472
358,1666750578.2691793
359,1666750578.2823339
360,1666750578.2954493
361,1666750578.3103795
362,1666750578.3234222
363,1666750578.3376412
364,1666750578.350187
365,1666750578.3638568
366,1666750578.3788104
367,1666750578.3901935
368,1666750578.4031978
369,1666750578.4172223
370,1666750578.431151
371,1666750578.4443645
372,1666750578.457376
373,1666750578.4693089
374,1666750578.4799266
375,1666750578.4902864
376,1666750578.5034318
377,1666750578.5144382
378,1666750578.5263414
379,1666750578.5428996
380,1666750578.5568752
381,1666750578.5709128
382,1666750578.5847204
383,1666750578.5992708
384,1666750578.6121078
385,1666750578.6241925
386,1666750578.6412916
387,1666750578.6524172
388,1666750578.6651537
389,1666750578.6792421
390,1666750578.6924398
391,1666750578.7075858
392,1666750578.7182245
393,1666750578.731329
394,1666750578.7455115
395,1666750578.7576525
396,1666750578.7706964
397,1666750578.7864392
398,1666750578.7984722
399,1666750578.8116772
400,1666750578.827724
401,1666750578.838772
402,1666750578.8526595
403,1666750578.8644304
404,1666750578.8793526
405,1666750578.8929603
406,1666750578.9153924
407,1666750578.943126
408,1666750578.962705
409,1666750578.9816353
410,1666750578.996655
411,1666750579.0323715
412,1666750579.0474975
413,1666750579.0633948
414,1666750579.0781407
415,1666750579.092507
416,1666750579.13131
417,1666750579.1424735
418,1666750579.1572108
419,1666750579.1733294
420,1666750579.1879137
421,1666750579.2072763
422,1666750579.2284582
423,1666750579.2403998
424,1666750579.2563093
425,1666750579.276626
426,1666750579.2917933
427,1666750579.307246
428,1666750579.323137
429,1666750579.342203
430,1666750579.3603904
431,1666750579.376138
432,1666750579.3921888
433,1666750579.4085376
434,1666750579.426816
435,1666750579.439939
436,1666750579.451954
437,1666750579.4669473
438,1666750579.4811792
439,1666750579.4964044
440,1666750579.5122101
441,1666750579.5261977
442,1666750579.5382257
443,1666750579.552026
444,1666750579.5653837
445,1666750579.5783796
446,1666750579.5928078
447,1666750579.6082292
448,1666750579.621482
449,1666750579.6364403
450,1666750579.651997
451,1666750579.6813674
452,1666750579.7235372
