,0,1
382,1631,534
383,1628,538
384,1625,542
385,1622,546
386,1619,550
387,1616,554
388,1613,558
389,1610,562
390,1607,566
391,1604,570
392,1601,574
393,1598,578
394,1595,582
395,1592,586
396,1589,590
397,1586,594
398,1583,598
399,1580,602
400,1577,606
401,1574,610
402,1571,614
403,1568,618
404,1565,622
405,1562,626
406,1559,630
407,1556,634
408,1553,638
409,1550,642
410,1547,646
411,1544,650
412,1541,654
413,1538,658
414,1535,662
415,1532,666
416,1529,670
417,1526,674
418,1523,678
419,1520,682
420,1517,686
421,1514,690
422,1511,694
423,1508,698
424,1505,702
425,1502,706
426,1499,710
427,1496,714
428,1493,718
429,1490,722
430,1487,726
431,1484,730
432,1481,734
433,1478,738
434,1475,742
435,1472,746
436,1469,750
437,1466,754
438,1463,758
439,1460,762
440,1457,766
441,1454,770
442,1451,774
443,1448,778
444,1445,782
445,1442,786
446,1439,790
447,1436,794
448,1433,798
449,1430,802
450,1427,806
451,1424,810
452,1421,814
453,1418,818
454,1415,822
455,1412,826
456,1409,830
457,1406,834
458,1403,838
459,1400,842
460,1397,846
461,1394,850
462,1391,854
463,1388,858
464,1385,862
465,1382,866
466,1379,870
467,1376,874
468,1373,878
469,1370,882
470,1367,886
471,1364,890
472,1361,894
473,1358,898
474,1355,902
475,1352,906
476,1349,910
477,1346,914
478,1343,918
479,1340,922
480,1337,926
481,1334,930
482,1331,934
483,1328,938
484,1325,942
485,1322,946
486,1319,950
487,1316,954
488,1313,958
489,1310,962
490,1307,966
491,1304,970
492,1301,974
493,1298,978
494,1295,982
